term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
strain,ECA599,N2,0,16.28139503102613,3.324642177416022,29.238147884636234,0.00242,**
strain,ECA575,CB4856,0,0.24582813743494025,-12.68508869275373,13.176744967623609,1,ns
strain,ECA575,ECA929,0,2.5084946796461125,-10.422422150542557,15.439411509834782,1,ns
strain,ECA575,ECA232,0,3.1451977564849427,-9.837755166562772,16.128150679532656,1,ns
strain,ECA575,ECA2006,0,-2.604107239960373,-15.535024070149042,10.326809590228297,1,ns
strain,ECA575,ECA597,0,4.219518586823352,-8.711398243365318,17.15043541701202,0.996,ns
strain,ECA575,ECA1064,0,12.4362891829028,-0.49462764728586883,25.36720601309147,0.0726,ns
strain,ECA575,N2,0,12.37693759857182,-0.5539792316168501,25.30785442876049,0.0758,ns
strain,CB4856,ECA929,0,2.2626665422111722,-10.668250287977497,15.193583372399843,1,ns
strain,CB4856,ECA232,0,2.8993696190500025,-10.083583303997711,15.882322542097716,1,ns
strain,CB4856,ECA2006,0,-2.849935377395313,-15.780852207583983,10.080981452793356,1,ns
strain,CB4856,ECA597,0,3.9736904493884118,-8.957226380800257,16.904607279577082,0.998,ns
strain,CB4856,ECA1064,0,12.19046104546786,-0.74045578472081,25.121377875656528,0.0866,ns
strain,CB4856,N2,0,12.131109461136878,-0.7998073690517913,25.062026291325548,0.0903,ns
strain,ECA929,ECA232,0,0.6367030768388302,-12.346249846208885,13.619655999886543,1,ns
strain,ECA929,ECA2006,0,-5.112601919606486,-18.043518749795155,7.818314910582184,0.98,ns
strain,ECA929,ECA597,0,1.7110239071772395,-11.21989292301143,14.641940737365909,1,ns
strain,ECA929,ECA1064,0,9.927794503256688,-3.0031223269319813,22.858711333445356,0.332,ns
strain,ECA929,N2,0,9.868442918925707,-3.0624739112629626,22.799359749114377,0.342,ns
strain,ECA232,ECA2006,0,-5.749304996445316,-18.73225791949303,7.233647926602398,0.953,ns
strain,ECA232,ECA597,0,1.0743208303384093,-11.908632092709304,14.057273753386124,1,ns
strain,ECA232,ECA1064,0,9.291091426417857,-3.6918614966298566,22.27404434946557,0.447,ns
strain,ECA232,N2,0,9.231739842086876,-3.751213080960838,22.21469276513459,0.457,ns
strain,ECA2006,ECA597,0,6.823625826783725,-6.107291003404945,19.754542656972394,0.856,ns
strain,ECA2006,ECA1064,0,15.040396422863173,2.1094795926745036,27.971313253051843,0.00806,**
strain,ECA2006,N2,0,14.981044838532192,2.0501280083435223,27.911961668720863,0.00853,**
strain,ECA597,ECA1064,0,8.21677059607945,-4.71414623410922,21.14768742626812,0.637,ns
strain,ECA597,N2,0,8.157419011748466,-4.7734978184402035,21.088335841937138,0.648,ns
strain,ECA1064,N2,0,-0.05935158433098131,-12.990268414519651,12.871565245857688,1,ns
