strain	condition	trait	phenotype
QX500	growth	mean.res.mean.normEXT	0.010565110348796706
QX501	growth	mean.res.meanTOF	-5.712013989592325
QX501	growth	mean.res.mean.normEXT	0.010004727880505333
QX503	growth	mean.res.meanTOF	14.009965398756831
QX503	growth	mean.res.mean.normEXT	-0.007468051128460134
QX506	growth	mean.res.meanTOF	-6.370873796141719
QX506	growth	mean.res.mean.normEXT	-0.0033361647180927593
QX508	growth	mean.res.meanTOF	22.4546607634043
QX508	growth	mean.res.mean.normEXT	-0.01928387942222162
QX511	growth	mean.res.meanTOF	-22.09116956288861
QX511	growth	mean.res.mean.normEXT	-0.01986689412547747
QX512	growth	mean.res.meanTOF	16.370647722281877
QX512	growth	mean.res.mean.normEXT	-0.003207185242253491
QX513	growth	mean.res.meanTOF	4.337541137608023
QX513	growth	mean.res.mean.normEXT	-0.005806488635545559
QX514	growth	mean.res.meanTOF	-19.9817442812993
QX514	growth	mean.res.mean.normEXT	0.0024904290491105565
QX515	growth	mean.res.meanTOF	0.7006525782389728
QX515	growth	mean.res.mean.normEXT	0.011707111047680038
QX517	growth	mean.res.meanTOF	-1.4600238473349239
QX517	growth	mean.res.mean.normEXT	-0.007726395420479558
QX520	growth	mean.res.meanTOF	17.894302219619977
QX520	growth	mean.res.mean.normEXT	-0.004432489785332919
QX521	growth	mean.res.meanTOF	2.8831282371254816
QX521	growth	mean.res.mean.normEXT	-0.0023148042858705206
QX523	growth	mean.res.meanTOF	-12.235338704266415
QX523	growth	mean.res.mean.normEXT	-0.004679749594112423
QX524	growth	mean.res.meanTOF	-7.871072765658132
QX524	growth	mean.res.mean.normEXT	-0.019235521174305825
QX525	growth	mean.res.meanTOF	7.730784238044612
QX525	growth	mean.res.mean.normEXT	-0.007950398841465013
QX526	growth	mean.res.meanTOF	16.984752161644618
QX526	growth	mean.res.mean.normEXT	-0.0025183385804417534
QX527	growth	mean.res.meanTOF	2.1577101901512408
QX527	growth	mean.res.mean.normEXT	0.010865456765794548
QX528	growth	mean.res.meanTOF	-3.761893856954959
QX528	growth	mean.res.mean.normEXT	-0.00857312071308944
QX529	growth	mean.res.meanTOF	15.533244196088486
QX529	growth	mean.res.mean.normEXT	0.010938037426655455
QX530	growth	mean.res.meanTOF	-0.8236114774913802
QX530	growth	mean.res.mean.normEXT	-0.018173200173883877
QX531	growth	mean.res.meanTOF	-11.207428939582467
QX531	growth	mean.res.mean.normEXT	0.02292774207820312
QX533	growth	mean.res.meanTOF	23.063581369420483
QX533	growth	mean.res.mean.normEXT	0.016359652293210993
QX534	growth	mean.res.meanTOF	4.042732817610321
QX534	growth	mean.res.mean.normEXT	-0.00949731811090253
QX538	growth	mean.res.meanTOF	-169.33758372217682
QX538	growth	mean.res.mean.normEXT	-0.06647316609883756
QX539	growth	mean.res.meanTOF	-9.617308460455519
QX539	growth	mean.res.mean.normEXT	-0.017284861677047385
QX540	growth	mean.res.meanTOF	9.649580910373055
QX540	growth	mean.res.mean.normEXT	0.006747453289680801
QX542	growth	mean.res.meanTOF	-0.22359392497121508
QX542	growth	mean.res.mean.normEXT	-4.6901924173280596e-4
QX545	growth	mean.res.meanTOF	7.802872712338125
QX545	growth	mean.res.mean.normEXT	0.014304878369953289
QX549	growth	mean.res.meanTOF	-2.5764577455584234
QX549	growth	mean.res.mean.normEXT	-0.0067504823509565055
QX550	growth	mean.res.meanTOF	-1.8199436266897493
QX550	growth	mean.res.mean.normEXT	-0.004057189816891258
QX551	growth	mean.res.meanTOF	33.64339717962103
QX551	growth	mean.res.mean.normEXT	0.010201815806032483
QX553	growth	mean.res.meanTOF	-7.486673214525739
QX553	growth	mean.res.mean.normEXT	-0.011208940755299327
QX554	growth	mean.res.meanTOF	-29.257609044927534
QX554	growth	mean.res.mean.normEXT	-2.7878805253627945e-4
QX555	growth	mean.res.meanTOF	-9.966529831904348
QX555	growth	mean.res.mean.normEXT	0.029273573481404906
QX556	growth	mean.res.meanTOF	-5.326682466815639
QX556	growth	mean.res.mean.normEXT	-0.01624000617546917
QX557	growth	mean.res.meanTOF	-6.672351867665298
QX557	growth	mean.res.mean.normEXT	0.02518186910425761
QX559	growth	mean.res.meanTOF	24.998158379248768
QX559	growth	mean.res.mean.normEXT	0.005559685113232846
QX560	growth	mean.res.meanTOF	17.555009009736477
QX560	growth	mean.res.mean.normEXT	-0.012579221247960942
QX561	growth	mean.res.meanTOF	7.029881691524812
QX561	growth	mean.res.mean.normEXT	0.025519634584748156
QX563	growth	mean.res.meanTOF	-7.050726621619174
QX563	growth	mean.res.mean.normEXT	0.010232597582702094
QX564	growth	mean.res.meanTOF	8.921559559366877
QX564	growth	mean.res.mean.normEXT	-0.009734773184780067
QX565	growth	mean.res.meanTOF	-0.764197419032607
QX565	growth	mean.res.mean.normEXT	0.01854132315394255
QX570	growth	mean.res.meanTOF	-8.78151605967916
QX570	growth	mean.res.mean.normEXT	0.002284425117171815
QX572	growth	mean.res.meanTOF	-11.495791030235956
QX572	growth	mean.res.mean.normEXT	-0.01573716616820417
QX573	growth	mean.res.meanTOF	-15.414010973934522
QX573	growth	mean.res.mean.normEXT	-0.013740646963960173
QX574	growth	mean.res.meanTOF	10.647327002515345
QX574	growth	mean.res.mean.normEXT	-0.013644480797941427
QX579	growth	mean.res.meanTOF	4.046797123318569
QX579	growth	mean.res.mean.normEXT	0.013778216425417003
QX580	growth	mean.res.meanTOF	17.223198988094865
QX580	growth	mean.res.mean.normEXT	-0.001025377803341337
QX583	growth	mean.res.meanTOF	15.3790000420181
QX583	growth	mean.res.mean.normEXT	0.0011625287343937827
QX585	growth	mean.res.meanTOF	28.623347479839914
QX585	growth	mean.res.mean.normEXT	-0.01141041406987042
QX587	growth	mean.res.meanTOF	2.35686173018411
QX587	growth	mean.res.mean.normEXT	-0.016945945908935365
QX588	growth	mean.res.meanTOF	-3.3544979152192593
QX588	growth	mean.res.mean.normEXT	0.005257039040093223
QX59	growth	mean.res.meanTOF	0.6559165475605264
QX59	growth	mean.res.mean.normEXT	0.011115332409541594
QX594	growth	mean.res.meanTOF	7.852131733735088
QX594	growth	mean.res.mean.normEXT	0.002511393807051699
QX596	growth	mean.res.meanTOF	4.1240551363487095
QX596	growth	mean.res.mean.normEXT	0.010845788756828853
QX597	growth	mean.res.meanTOF	0.39345740233372023
QX597	growth	mean.res.mean.normEXT	-0.014471638812487
QX598	growth	mean.res.meanTOF	8.019922464401242
QX598	growth	mean.res.mean.normEXT	-0.0010061761845840125
QX61	growth	mean.res.meanTOF	-9.02937122600546
QX61	growth	mean.res.mean.normEXT	-4.92366746974244e-4
QX62	growth	mean.res.meanTOF	-46.938847644763136
QX62	growth	mean.res.mean.normEXT	-0.06847856243639015
QX72	growth	mean.res.meanTOF	-31.168003566767037
QX72	growth	mean.res.mean.normEXT	-0.02744842457945663
QX78	growth	mean.res.meanTOF	27.612910609635602
QX78	growth	mean.res.mean.normEXT	0.004887090697146723
QX85	growth	mean.res.meanTOF	-2.0411646046515726
QX85	growth	mean.res.mean.normEXT	0.001435862436636659
